sample_id,replicate,barcode_dir
T0,rep1,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_01_29_2024/barcode01
T0,rep2,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_N_01_29_2024/barcode01
T0,rep3,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_SFB_LFB_Jan30_LFB/barcode01
T0,rep4,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_SFB_LFB_Jan30_SFB/barcode01
T0,rep5,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/SFB_N_02_02_2024/barcode01
T0,rep6,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/New_HiPoreC_May_01_2024/0_25_50_125/20240501_1352_P2S-00985-A_PAS12503_556ebd9f/fastq_pass/barcode05
T0,rep7,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/HiPoreCR1_R2/20241022_1752_P2S-00985-A_PAS13695_ba942fdc/fastq_pass/barcode17
T0,rep8,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/HiPoreCR1_R2/20241022_1752_P2S-00985-A_PAS13695_ba942fdc/fastq_pass/barcode21
T0,rep9,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/OccupanC_and_HiPoreCR1_R2/20241022_1752_P2S-00985-B_PAS12230_a1786980/fastq_pass/barcode17
T0,rep10,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/OccupanC_and_HiPoreCR1_R2/20241022_1752_P2S-00985-B_PAS12230_a1786980/fastq_pass/barcode21
T25,rep1,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_01_29_2024/barcode02
T25,rep2,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_N_01_29_2024/barcode02
T25,rep3,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_SFB_LFB_Jan30_LFB/barcode02
T25,rep4,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_SFB_LFB_Jan30_SFB/barcode02
T25,rep5,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/SFB_N_02_02_2024/barcode02
T25,rep6,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/New_HiPoreC_May_01_2024/0_25_50_125/20240501_1352_P2S-00985-A_PAS12503_556ebd9f/fastq_pass/barcode06
T25,rep7,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/HiPoreCR1_R2/20241022_1752_P2S-00985-A_PAS13695_ba942fdc/fastq_pass/barcode18
T25,rep8,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/HiPoreCR1_R2/20241022_1752_P2S-00985-A_PAS13695_ba942fdc/fastq_pass/barcode22
T25,rep9,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/OccupanC_and_HiPoreCR1_R2/20241022_1752_P2S-00985-B_PAS12230_a1786980/fastq_pass/barcode18
T25,rep10,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/OccupanC_and_HiPoreCR1_R2/20241022_1752_P2S-00985-B_PAS12230_a1786980/fastq_pass/barcode22
T50,rep1,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_01_29_2024/barcode03
T50,rep2,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_N_01_29_2024/barcode03
T50,rep3,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_SFB_LFB_Jan30_LFB/barcode03
T50,rep4,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/HiPoreC_SFB_LFB_Jan30_SFB/barcode03
T50,rep5,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/SFB_N_02_02_2024/barcode03
T50,rep6,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/New_HiPoreC_May_01_2024/0_25_50_125/20240501_1352_P2S-00985-A_PAS12503_556ebd9f/fastq_pass/barcode07
T50,rep7,/Tango/RawNanopore/backup_Dec_17_2024/Puspo/OccupanC_HiPoreC_Oct22_2024/OccupanC_HiPoreC_Replicates/HiPoreCR1_R2/20241022_1752_P2S-00985-A_PAS13695_ba942fdc/fastq_pass/barcode19
